1560997291780,21.00,60.00
1560997296765,21.00,60.00
1560997301768,21.00,60.00
1560997306775,21.00,60.00
Wed Jun 19 2019 20:30:59 GMT-0600 (Mountain Daylight Time),8:30:59 PM,21.00,60.00
Wed Jun 19 2019 20:31:04 GMT-0600 (Mountain Daylight Time),8:31:04 PM,21.00,60.00
Wed Jun 19 2019 20:31:09 GMT-0600 (Mountain Daylight Time),8:31:09 PM,21.00,60.00
6/19/2019,8:34:47 PM,21.00,60.00
6/19/2019,8:34:52 PM,21.00,60.00
1561175709565,6/21/2019,9:55:09 PM,21.00,60.00
1561175719575,6/21/2019,9:55:19 PM,21.00,60.00
1561175729586,6/21/2019,9:55:29 PM,21.00,60.00
1561175739596,6/21/2019,9:55:39 PM,21.00,60.00
1561175749606,6/21/2019,9:55:49 PM,21.00,60.00
1561175759613,6/21/2019,9:55:59 PM,21.00,60.00
1561175769623,6/21/2019,9:56:09 PM,21.00,60.00
1561175779633,6/21/2019,9:56:19 PM,21.00,60.00
1561175789643,6/21/2019,9:56:29 PM,21.00,60.00
1561175799653,6/21/2019,9:56:39 PM,21.00,60.00
1561175809663,6/21/2019,9:56:49 PM,21.00,60.00
1561175819673,6/21/2019,9:56:59 PM,21.00,60.00
1561175829683,6/21/2019,9:57:09 PM,21.00,60.00
1561175839693,6/21/2019,9:57:19 PM,21.00,60.00
1561175849704,6/21/2019,9:57:29 PM,21.00,60.00
1561175859714,6/21/2019,9:57:39 PM,21.00,60.00
1561175869724,6/21/2019,9:57:49 PM,21.00,60.00
1561175879735,6/21/2019,9:57:59 PM,21.00,60.00
1561175889745,6/21/2019,9:58:09 PM,21.00,60.00
1561175899755,6/21/2019,9:58:19 PM,21.00,60.00
1561175909765,6/21/2019,9:58:29 PM,21.00,60.00
1561175919775,6/21/2019,9:58:39 PM,21.00,60.00
1561175929786,6/21/2019,9:58:49 PM,21.00,60.00
1561175939797,6/21/2019,9:58:59 PM,21.00,60.00
1561175949807,6/21/2019,9:59:09 PM,21.00,60.00
1561175959817,6/21/2019,9:59:19 PM,21.00,60.00
1561175969827,6/21/2019,9:59:29 PM,21.00,60.00
1561175979837,6/21/2019,9:59:39 PM,21.00,60.00
1561175989848,6/21/2019,9:59:49 PM,21.00,60.00
1561175999858,6/21/2019,9:59:59 PM,21.00,60.00
1561176009860,6/21/2019,10:00:09 PM,21.00,60.00
1561176019870,6/21/2019,10:00:19 PM,21.00,60.00
1561176029880,6/21/2019,10:00:29 PM,21.00,60.00
1561176039890,6/21/2019,10:00:39 PM,21.00,60.00
1561176049901,6/21/2019,10:00:49 PM,21.00,60.00
1561176059911,6/21/2019,10:00:59 PM,21.00,60.00
1561176069921,6/21/2019,10:01:09 PM,21.00,60.00
1561176079932,6/21/2019,10:01:19 PM,21.00,60.00
1561176089942,6/21/2019,10:01:29 PM,21.00,60.00
1561176099952,6/21/2019,10:01:39 PM,21.00,60.00
1561176109963,6/21/2019,10:01:49 PM,21.00,60.00
1561176119973,6/21/2019,10:01:59 PM,21.00,60.00
1561176129983,6/21/2019,10:02:09 PM,21.00,60.00
1561176139994,6/21/2019,10:02:19 PM,21.00,60.00
1561176150004,6/21/2019,10:02:30 PM,21.00,60.00
1561176160014,6/21/2019,10:02:40 PM,21.00,60.00
1561176170025,6/21/2019,10:02:50 PM,21.00,60.00
1561176180035,6/21/2019,10:03:00 PM,21.00,60.00
1561176257209,6/21/2019,10:04:17 PM,21.00,60.00
1561176267199,6/21/2019,10:04:27 PM,21.00,60.00
1561182171864,6/21/2019,11:42:51 PM,21.00,60.00
1561182181851,6/21/2019,11:43:01 PM,21.00,60.00
1561209880037,6/22/2019,7:24:40 AM,21.00,60.00
1561209945593,6/22/2019,7:25:45 AM,21.00,60.00
1561210087726,6/22/2019,7:28:07 AM,21.00,60.00
1561210097705,6/22/2019,7:28:17 AM,21.00,60.00
1561210107713,6/22/2019,7:28:27 AM,21.00,60.00
1561210607430,6/22/2019,7:36:47 AM,21.00,60.00
1561210617408,6/22/2019,7:36:57 AM,21.00,60.00
1561210627415,6/22/2019,7:37:07 AM,21.00,60.00
1561210637425,6/22/2019,7:37:17 AM,21.00,60.00
1561210647435,6/22/2019,7:37:27 AM,21.00,60.00
1561210710751,6/22/2019,7:38:30 AM,21.00,60.00
1561210720729,6/22/2019,7:38:40 AM,21.00,60.00
1561210761384,6/22/2019,7:39:21 AM,21.00,60.00
1561210815012,6/22/2019,7:40:15 AM,21.00,60.00
1561211579203,6/22/2019,7:52:59 AM,21.00,60.00
1561211589191,6/22/2019,7:53:09 AM,21.00,60.00
1561211599199,6/22/2019,7:53:19 AM,21.00,60.00
1561211609202,6/22/2019,7:53:29 AM,21.00,60.00
1561211619211,6/22/2019,7:53:39 AM,21.00,60.00
1561211629212,6/22/2019,7:53:49 AM,21.00,60.00
1561211639224,6/22/2019,7:53:59 AM,21.00,60.00
1561211649235,6/22/2019,7:54:09 AM,21.00,60.00
1561211659245,6/22/2019,7:54:19 AM,21.00,60.00
1561211669255,6/22/2019,7:54:29 AM,21.00,60.00
1561211679265,6/22/2019,7:54:39 AM,21.00,60.00
1561211689275,6/22/2019,7:54:49 AM,21.00,60.00
1561211699286,6/22/2019,7:54:59 AM,21.00,60.00
1561211709296,6/22/2019,7:55:09 AM,21.00,60.00
1561211719306,6/22/2019,7:55:19 AM,21.00,60.00
